	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[BLASTED]	plot30_0000208214_4	phage tail protein	165	20	7.96444E-97	74.94								
true	[BLASTED]	plot30_0000390256_2	phage tail protein	165	20	2.26273E-92	74.79								
true	[BLASTED]	plot30_0000039007_9	phage tail protein	165	20	3.95282E-95	73.81								
true	[BLASTED, MAPPED]	plot30_0000045283_3	ABC transporter substrate-binding protein	495	20	0.0	70.53	1	P:GO:0008643	P:carbohydrate transport					
true	[BLASTED]	plot30_0000147269_7	branched chain amino acid ABC transporter substrate-binding protein	391	20	0.0	82.94								
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000165455_2	dienelactone hydrolase family protein	292	20	1.00256E-150	80.59	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000032686_8	phosphate ABC transporter substrate-binding protein PstS	348	20	0.0	86.56	3	P:GO:0035435; F:GO:0042301; C:GO:0043190	P:phosphate ion transmembrane transport; F:phosphate ion binding; C:ATP-binding cassette (ABC) transporter complex					
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000444360_3	N-acyl homoserine lactonase family protein	249	20	9.02636E-123	78.04	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED, MAPPED]	plot1_0000295943_2	VOC family protein	122	20	5.40162E-48	57.87	1	F:GO:0016829	F:lyase activity					
true	[BLASTED]	plot1_0000150661_3	sugar ABC transporter substrate-binding protein	417	20	0.0	81.34								
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000035537_6	amidohydrolase	267	20	0.0	91.46	2	F:GO:0016787; F:GO:0016831	F:hydrolase activity; F:carboxy-lyase activity					
true	[BLASTED]	plot1_0000268244_1	CHRD domain-containing protein	145	20	4.01948E-47	71.42								
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000099431_6	acetamidase	313	20	0.0	85.5	1	F:GO:0016811	F:hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides					
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000186652_2	cyclase	336	20	0.0	83.15	3	F:GO:0004061; C:GO:0016020; P:GO:0019441	F:arylformamidase activity; C:membrane; P:tryptophan catabolic process to kynurenine	EC:3.5.1.9	Arylformamidase			
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000336329_1	sorbosone dehydrogenase	336	20	0.0	91.53	4	F:GO:0009055; F:GO:0020037; P:GO:0022900; F:GO:0046872	F:electron transfer activity; F:heme binding; P:electron transport chain; F:metal ion binding					
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000051015_5	alpha/beta hydrolase	252	20	3.9587E-177	95.07	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000190805_5	PQQ-dependent dehydrogenase, methanol/ethanol family	219	20	3.42222E-119	86.58	5	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114	F:calcium ion binding; C:membrane; F:oxidoreductase activity, acting on CH-OH group of donors; C:outer membrane-bounded periplasmic space; P:oxidation-reduction process					
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000286188_3	hypothetical protein DMG30_29470	270	20	4.47969E-150	81.1	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED]	plot30_0000104519_4	lectin	242	20	3.88763E-74	63.29								
true	[BLASTED]	plot30_0000148955_3	hypothetical protein DMG60_04805	107	20	4.96312E-65	80.58								
true	[BLASTED]	plot30_0000051529_7	hypothetical protein DMG97_34635	107	20	8.70359E-53	83.18								
true	[BLASTED, MAPPED, ANNOTATED]	plot36_0000049904_2	N-acyl homoserine lactonase family protein	288	20	2.17695E-163	81.71	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED, MAPPED]	plot30_0000159416_4	VOC family protein	130	20	3.92102E-53	71.99	2	F:GO:0051213; P:GO:0055114	F:dioxygenase activity; P:oxidation-reduction process					
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000249165_3	epoxide hydrolase	181	20	5.8289E-97	86.09	1	F:GO:0033961	F:cis-stilbene-oxide hydrolase activity	EC:3.3.2.9	Microsomal epoxide hydrolase			
true	[BLASTED]	plot1_0000430564_2	hypothetical protein DMD97_07540	306	20	0.0	86.54								
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000213004_2	arylsulfatase	505	20	0.0	86.65	1	F:GO:0008484	F:sulfuric ester hydrolase activity					
true	[BLASTED, MAPPED]	plot1_0000558419_2	hypothetical protein	125	20	1.58132E-36	63.22	2	C:GO:0016020; C:GO:0016021	C:membrane; C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	plot6_0000230725_1	hypothetical protein DMG30_29470	273	20	5.05318E-130	77.18	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000506625_1	cytochrome C-binding protein	222	20	8.38252E-99	74.65	2	C:GO:0016020; F:GO:0046872	C:membrane; F:metal ion binding					
true	[BLASTED]	plot1_0000010100_12	DUF1330 domain-containing protein	97	20	1.45751E-49	83.42								
true	[BLASTED, MAPPED, ANNOTATED]	plot36_0000428712_1	hypothetical protein AUI54_01425	429	20	0.0	65.36	1	F:GO:0005488	F:binding					
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000407616_2	alpha/beta hydrolase	253	20	3.04111E-164	83.14	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED, MAPPED, ANNOTATED]	plot36_0000516034_1	arylsulfatase	335	20	0.0	94.03	1	F:GO:0008484	F:sulfuric ester hydrolase activity					
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000337619_1	phosphate ABC transporter substrate-binding protein PstS	353	20	0.0	71.47	3	P:GO:0035435; F:GO:0042301; C:GO:0043190	P:phosphate ion transmembrane transport; F:phosphate ion binding; C:ATP-binding cassette (ABC) transporter complex					
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000079558_3	phosphate ABC transporter substrate-binding protein PstS	353	20	0.0	72.35	3	P:GO:0035435; F:GO:0042301; C:GO:0043190	P:phosphate ion transmembrane transport; F:phosphate ion binding; C:ATP-binding cassette (ABC) transporter complex					
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000358981_2	lectin	220	20	1.45809E-114	85.38	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED, MAPPED]	plot1_0000090461_5	chemotaxis protein	110	20	5.0893E-35	65.48	5	F:GO:0004888; P:GO:0006935; P:GO:0007165; C:GO:0016020; C:GO:0016021	F:transmembrane signaling receptor activity; P:chemotaxis; P:signal transduction; C:membrane; C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000449532_3	superoxide dismutase	197	20	6.9316E-91	70.5	2	P:GO:0006801; F:GO:0016491	P:superoxide metabolic process; F:oxidoreductase activity					
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000035460_4	dienelactone hydrolase family protein	261	20	3.67409E-121	62.61	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED]	plot1_0000376095_1	hypothetical protein EHM59_16520	325	20	0.0	84.12								
true	[BLASTED]	plot1_0000090802_3	RidA family protein	128	20	5.04951E-59	75.12								
true	[BLASTED]	plot30_0000628002_3	VOC family protein	128	20	1.84728E-60	82.25								
true	[BLASTED]	plot1_0000109134_4	enamine deaminase RidA	128	20	2.78597E-56	75.59								
true	[BLASTED]	plot30_0000226771_5	hypothetical protein BZY87_09055	256	20	1.40223E-143	83.04								
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000024492_10	MBL fold metallo-hydrolase	128	20	2.97534E-78	83.68	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000462156_4	PQQ-dependent dehydrogenase, methanol/ethanol family	169	20	5.54972E-104	96.33	5	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114	F:calcium ion binding; C:membrane; F:oxidoreductase activity, acting on CH-OH group of donors; C:outer membrane-bounded periplasmic space; P:oxidation-reduction process					
true	[BLASTED]	plot36_0000216528_1	SDR family oxidoreductase	251	20	1.87067E-158	92.82								
true	[BLASTED]	plot1_0000503016_4	SDR family oxidoreductase	251	20	2.04466E-157	92.93								
true	[BLASTED]	plot1_0000550541_2	hypothetical protein DMD96_14245	292	20	0.0	89.2								
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000082124_1	amidase	223	20	4.56661E-81	81.01	3	F:GO:0004040; F:GO:0016740; F:GO:0047680	F:amidase activity; F:transferase activity; F:aryl-acylamidase activity	EC:3.5.1.4; EC:3.5.1.13	Amidase; Aryl-acylamidase			
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000016006_7	gluconolactonase	159	20	1.68997E-89	88.33	3	F:GO:0003824; F:GO:0030151; F:GO:0030170	F:catalytic activity; F:molybdenum ion binding; F:pyridoxal phosphate binding					
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000170743_5	superoxide dismutase	59	20	8.39747E-33	90.11	4	F:GO:0004784; P:GO:0019430; F:GO:0046872; P:GO:0055114	F:superoxide dismutase activity; P:removal of superoxide radicals; F:metal ion binding; P:oxidation-reduction process	EC:1.15.1.1	Superoxide dismutase			
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000030627_3	ABC transporter substrate-binding protein	590	20	0.0	78.78	2	C:GO:0043190; P:GO:0055085	C:ATP-binding cassette (ABC) transporter complex; P:transmembrane transport					
true	[BLASTED]	plot6_0000049801_2	cytoplasmic protein	77	20	6.35156E-35	75.38								
true	[BLASTED]	plot1_0000060772_2	CHRD domain-containing protein	131	20	1.41023E-44	70.74								
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000136056_6	Predicted metal-dependent hydrolase, TIM-barrel fold	280	20	2.29565E-154	83.28	2	F:GO:0016787; F:GO:0016831	F:hydrolase activity; F:carboxy-lyase activity					
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000187784_2	N-acyl homoserine lactonase family protein	298	20	0.0	80.43	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED]	plot30_0000260011_1	hypothetical protein DMF93_24290	72	17	7.90455E-9	72.41								
true	[BLASTED, MAPPED, ANNOTATED]	plot36_0000088983_2	Transcriptional regulatory protein WalR	144	20	2.46606E-69	78.0	1	P:GO:0000160	P:phosphorelay signal transduction system					
true	[BLASTED]	plot1_0000073210_2	urea ABC transporter substrate-binding protein	427	20	0.0	92.31								
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000217648_2	Cytochrome P460	211	20	1.53358E-98	81.24	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED, MAPPED]	plot36_0000156280_2	hypothetical protein AUI54_01425	435	20	2.24924E-177	63.54	4	F:GO:0009055; F:GO:0020037; P:GO:0022900; F:GO:0046872	F:electron transfer activity; F:heme binding; P:electron transport chain; F:metal ion binding					
true	[BLASTED, MAPPED]	plot36_0000178369_2	lipase	309	20	1.1075E-122	71.93	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED, MAPPED]	plot1_0000188921_2	lipase	309	20	6.23308E-120	71.4	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000027543_6	mycofactocin system GMC family oxidoreductase MftG	523	20	0.0	84.58	3	F:GO:0016614; F:GO:0050660; P:GO:0055114	F:oxidoreductase activity, acting on CH-OH group of donors; F:flavin adenine dinucleotide binding; P:oxidation-reduction process					
true	[BLASTED]	plot30_0000097561_6	sugar ABC transporter substrate-binding protein	438	20	0.0	89.68								
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000082256_2	dienelactone hydrolase	299	20	5.99053E-169	83.1	1	F:GO:0008806	F:carboxymethylenebutenolidase activity	EC:3.1.1.45; EC:3.1.1.1	Carboxymethylenebutenolidase; Carboxylesterase			
true	[BLASTED]	plot6_0000090975_4	Enamine deaminase RidA	263	20	2.22828E-178	84.63								
true	[BLASTED, MAPPED, ANNOTATED]	plot36_0000401033_2	dienelactone hydrolase family protein	245	20	1.12892E-156	71.82	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000032118_5	alcohol dehydrogenase	570	20	0.0	84.7	4	F:GO:0005509; C:GO:0016020; F:GO:0016614; P:GO:0055114	F:calcium ion binding; C:membrane; F:oxidoreductase activity, acting on CH-OH group of donors; P:oxidation-reduction process					
true	[BLASTED, MAPPED, ANNOTATED]	plot6_0000021019_3	PQQ-dependent dehydrogenase, methanol/ethanol family	601	20	0.0	94.59	5	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114	F:calcium ion binding; C:membrane; F:oxidoreductase activity, acting on CH-OH group of donors; C:outer membrane-bounded periplasmic space; P:oxidation-reduction process					
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000388959_4	peptidoglycan-associated lipoprotein	178	20	1.1215E-52	71.1	4	P:GO:0007049; C:GO:0009279; C:GO:0016021; P:GO:0051301	P:cell cycle; C:cell outer membrane; C:integral component of membrane; P:cell division					
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000316455_4	alpha/beta hydrolase	258	20	1.73516E-136	78.9	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED]	plot30_0000503625_3	RidA family protein	129	20	7.64901E-53	76.5								
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000098721_6	cyclase family protein	338	20	0.0	84.98	3	F:GO:0004061; C:GO:0016021; P:GO:0019441	F:arylformamidase activity; C:integral component of membrane; P:tryptophan catabolic process to kynurenine	EC:3.5.1.9	Arylformamidase			
true	[BLASTED, MAPPED, ANNOTATED]	plot6_0000001331_14	hypothetical protein DMG13_07625	271	20	4.89011E-145	81.03	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000164286_4	branched-chain amino acid ABC transporter substrate-binding protein	372	20	0.0	84.67	1	P:GO:0006865	P:amino acid transport					
true	[BLASTED, MAPPED, ANNOTATED]	plot36_0000433630_3	branched-chain amino acid ABC transporter substrate-binding protein	372	20	0.0	84.43	1	P:GO:0006865	P:amino acid transport					
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000610399_2	superoxide dismutase	199	20	3.10171E-130	88.89	4	F:GO:0004784; P:GO:0019430; F:GO:0046872; P:GO:0055114	F:superoxide dismutase activity; P:removal of superoxide radicals; F:metal ion binding; P:oxidation-reduction process	EC:1.15.1.1	Superoxide dismutase			
true	[BLASTED]	plot36_0000257003_2	Lipocalin-like domain-containing protein	168	20	5.53506E-52	64.92								
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000001460_25	carboxymethylenebutenolidase	305	20	1.06292E-178	83.48	1	F:GO:0008806	F:carboxymethylenebutenolidase activity	EC:3.1.1.45; EC:3.1.1.1	Carboxymethylenebutenolidase; Carboxylesterase			
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000382899_3	PQQ-dependent dehydrogenase, methanol/ethanol family	393	20	0.0	83.88	4	F:GO:0005509; C:GO:0016020; F:GO:0052935; P:GO:0055114	F:calcium ion binding; C:membrane; F:ethanol:cytochrome c oxidoreductase activity; P:oxidation-reduction process	EC:1.1.2.8	Alcohol dehydrogenase (cytochrome c)			
true	[BLASTED, MAPPED, ANNOTATED]	plot36_0000308207_1	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase GatCAB subunit A	331	20	0.0	84.44	3	F:GO:0004040; F:GO:0016740; F:GO:0043864	F:amidase activity; F:transferase activity; F:indoleacetamide hydrolase activity	EC:3.5.1.4	Amidase			
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000000119_43	6-bladed beta-propeller	375	20	0.0	80.83	2	F:GO:0016301; P:GO:0016310	F:kinase activity; P:phosphorylation					
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000176868_3	6-bladed beta-propeller	375	20	0.0	80.91	2	F:GO:0016301; P:GO:0016310	F:kinase activity; P:phosphorylation					
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000323572_2	acetamidase	344	20	0.0	89.99	1	F:GO:0016811	F:hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides					
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000063279_4	sulfurtransferase	282	20	2.77942E-176	81.54	1	F:GO:0004792	F:thiosulfate sulfurtransferase activity	EC:2.8.1.1	Thiosulfate sulfurtransferase			
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000153307_2	sulfurtransferase	282	20	5.54612E-178	81.71	1	F:GO:0004792	F:thiosulfate sulfurtransferase activity	EC:2.8.1.1	Thiosulfate sulfurtransferase			
true	[BLASTED]	plot1_0000102761_5	DUF1326 domain-containing protein	207	20	3.03829E-94	63.33								
true	[BLASTED]	plot1_0000022940_1	ABC transporter substrate-binding protein	251	20	9.97834E-78	67.98								
true	[BLASTED]	plot30_0000057497_6	hypothetical protein DMG89_19855	233	20	1.86858E-128	76.16								
true	[BLASTED, MAPPED, ANNOTATED]	plot36_0000064616_2	hypothetical protein AUI54_01425	435	20	0.0	62.93	1	F:GO:0005488	F:binding					
true	[BLASTED, MAPPED]	plot30_0000247273_3	extracellular solute-binding protein	391	20	2.4325E-113	61.51	3	P:GO:0015846; F:GO:0019808; C:GO:0042597	P:polyamine transport; F:polyamine binding; C:periplasmic space					
true	[BLASTED]	plot30_0000323016_2	hypothetical protein BZY75_03045	272	20	6.66184E-137	82.17								
true	[BLASTED, MAPPED, ANNOTATED]	plot36_0000027472_7	hypothetical protein DMG13_07625	272	20	7.63186E-152	82.19	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED]	plot30_0000093806_4	ribose ABC transporter substrate-binding protein	355	20	0.0	86.28								
true	[BLASTED]	plot36_0000058246_6	sugar ABC transporter substrate-binding protein	438	20	0.0	91.72								
true	[BLASTED]	plot1_0000399388_2	amino acid ABC transporter substrate-binding protein	337	20	0.0	83.78								
true	[BLASTED]	plot36_0000443701_1	hypothetical protein ETSY2_15395	210	6	1.76577E-114	83.28								
true	[BLASTED]	plot30_0000020100_11	hypothetical protein	210	20	2.97574E-101	62.37								
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000027891_9	lectin	218	20	9.50676E-118	84.09	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED, MAPPED]	plot6_0000000277_29	VOC family protein	122	20	1.08688E-46	57.23	1	F:GO:0016829	F:lyase activity					
true	[BLASTED]	plot1_0000140993_7	urea ABC transporter substrate-binding protein	122	20	5.72829E-53	83.45								
true	[BLASTED, MAPPED, ANNOTATED]	plot36_0000184694_3	phosphate ABC transporter substrate-binding protein PstS	348	20	0.0	87.05	3	P:GO:0035435; F:GO:0042301; C:GO:0043190	P:phosphate ion transmembrane transport; F:phosphate ion binding; C:ATP-binding cassette (ABC) transporter complex					
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000058560_4	transaldolase	361	20	0.0	90.8	4	F:GO:0004801; C:GO:0005737; P:GO:0005975; P:GO:0006098	F:sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity; C:cytoplasm; P:carbohydrate metabolic process; P:pentose-phosphate shunt	EC:2.2.1.2	Transaldolase			
true	[BLASTED, MAPPED, ANNOTATED]	plot36_0000395461_2	PQQ-dependent dehydrogenase, methanol/ethanol family	426	20	0.0	90.16	4	F:GO:0005509; C:GO:0016020; F:GO:0016614; P:GO:0055114	F:calcium ion binding; C:membrane; F:oxidoreductase activity, acting on CH-OH group of donors; P:oxidation-reduction process					
true	[BLASTED, MAPPED, ANNOTATED]	plot6_0000003509_15	ABC transporter substrate-binding protein	582	20	0.0	90.61	1	F:GO:0005215	F:transporter activity					
true	[BLASTED]	plot6_0000217911_4	microcystin dependent protein	169	20	1.91557E-91	75.31								
true	[BLASTED, MAPPED]	plot36_0000057179_2	ferredoxin	65	20	5.95597E-20	72.59	3	F:GO:0005506; F:GO:0009055; P:GO:0022900	F:iron ion binding; F:electron transfer activity; P:electron transport chain					
true	[BLASTED]	plot1_0000002231_2	NHL repeat-containing protein	372	20	0.0	73.93								
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000082290_4	acetamidase/formamidase family protein	419	20	0.0	86.41	1	F:GO:0004328	F:formamidase activity	EC:3.5.1.49	Formamidase			
true	[BLASTED, MAPPED]	plot36_0000158132_2	nucleoside-binding protein	367	20	7.12359E-169	76.31	1	C:GO:0005886	C:plasma membrane					
true	[BLASTED]	plot36_0000423371_2	chemotaxis protein	151	20	4.97123E-58	72.57								
true	[BLASTED, MAPPED, ANNOTATED]	plot36_0000204375_2	PQQ-dependent dehydrogenase, methanol/ethanol family	599	20	0.0	90.66	5	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114	F:calcium ion binding; C:membrane; F:oxidoreductase activity, acting on CH-OH group of donors; C:outer membrane-bounded periplasmic space; P:oxidation-reduction process					
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000038078_6	dienelactone hydrolase	224	20	6.88987E-161	94.26	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000031579_5	hypothetical protein DMG13_07625	271	20	2.01334E-145	80.46	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED, MAPPED]	plot36_0000010934_10	peptide-binding protein	576	20	0.0	57.08	2	C:GO:0043190; P:GO:0055085	C:ATP-binding cassette (ABC) transporter complex; P:transmembrane transport					
true	[BLASTED]	plot1_0000618088_1	hypothetical protein AUI16_09165	206	20	1.37252E-65	65.78								
true	[BLASTED, MAPPED, ANNOTATED]	plot36_0000081112_3	alpha/beta hydrolase	253	20	1.79381E-167	82.18	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000173187_3	alpha/beta hydrolase	253	20	1.55778E-164	81.91	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000374219_2	alpha/beta hydrolase	253	20	1.57426E-165	82.41	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000078721_8	transaldolase	60	4	1.35942E-8	78.82	4	F:GO:0004801; C:GO:0005737; P:GO:0005975; P:GO:0006098	F:sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity; C:cytoplasm; P:carbohydrate metabolic process; P:pentose-phosphate shunt	EC:2.2.1.2	Transaldolase			
true	[BLASTED]	plot1_0000035694_7	SCP-2 family sterol carrier protein	107	20	5.9071E-50	73.42								
true	[BLASTED]	plot1_0000376725_1	heme-binding protein	154	20	3.72384E-63	71.34								
true	[BLASTED, MAPPED, ANNOTATED]	plot6_0000086840_4	DUF1259 domain-containing protein	295	20	3.27104E-175	87.69	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED]	plot30_0000623661_1	ABC transporter substrate-binding protein	342	20	8.35663E-167	78.77								
true	[BLASTED]	plot30_0000256026_2	cytochrome C nitrite reductase	423	20	5.34356E-69	51.7								
true	[BLASTED, MAPPED]	plot1_0000714699_1	cytochrome C nitrite reductase	423	20	2.87228E-69	51.97	2	C:GO:0016020; C:GO:0016021	C:membrane; C:integral component of membrane					
true	[BLASTED]	plot1_0000156916_3	DinB family protein	175	20	2.36272E-64	61.27								
true	[BLASTED, MAPPED]	plot6_0000260690_1	hypothetical protein DME36_14160	175	20	7.06428E-75	70.51	2	C:GO:0016020; C:GO:0016021	C:membrane; C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000317230_4	MBL fold metallo-hydrolase	303	20	9.01048E-155	77.68	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED, MAPPED]	plot30_0000110918_2	YciI family protein	115	20	7.33455E-49	75.93	1	F:GO:0016740	F:transferase activity					
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000000068_47	(2Fe-2S)-binding protein	149	20	4.18063E-85	86.59	4	F:GO:0009055; P:GO:0022900; F:GO:0046872; F:GO:0051537	F:electron transfer activity; P:electron transport chain; F:metal ion binding; F:2 iron, 2 sulfur cluster binding					
true	[BLASTED, MAPPED, ANNOTATED]	plot36_0000024415_2	putative dithiol-disulfide isomerase, DsbA family	183	20	1.41991E-79	52.9	2	F:GO:0015035; P:GO:0055114	F:protein disulfide oxidoreductase activity; P:oxidation-reduction process					
true	[BLASTED]	plot1_0000270728_1	cupin domain-containing protein	136	20	3.16871E-67	83.51								
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000055678_1	acetamidase/formamidase family protein	361	20	0.0	84.69	1	F:GO:0004328	F:formamidase activity	EC:3.5.1.49	Formamidase			
true	[BLASTED, MAPPED, ANNOTATED]	plot36_0000095230_2	sugar ABC transporter substrate-binding protein	361	20	0.0	86.86	1	P:GO:0008643	P:carbohydrate transport					
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000296232_2	alcohol dehydrogenase	450	20	0.0	93.85	7	F:GO:0018468; F:GO:0052930; F:GO:0052931; F:GO:0052932; F:GO:0052935; F:GO:0052936; P:GO:0055114	F:alcohol dehydrogenase (acceptor) activity; F:methanol ferricytochrome-c oxidoreductase activity; F:ethanol cytochrome-c oxidoreductase activity; F:2-chloroethanol cytochrome-c oxidoreductase activity; F:ethanol:cytochrome c oxidoreductase activity; F:2-chloroethanol:cytochrome c oxidoreductase activity; P:oxidation-reduction process	EC:1.1.2.7; EC:1.1.99.8; EC:1.1.2.8	Methanol dehydrogenase (cytochrome c); Acting on the CH-OH group of donors; Alcohol dehydrogenase (cytochrome c)			
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000003515_22	fumarylacetoacetate hydrolase	314	20	0.0	81.04	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000506178_2	branched-chain amino acid ABC transporter substrate-binding protein	411	20	0.0	77.01	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED]	plot36_0000460237_2	hypothetical protein	110	1	1.27072E-9	66.23								
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000048532_4	ABC transporter substrate-binding protein	330	20	1.00218E-172	83.83	1	P:GO:0008643	P:carbohydrate transport					
true	[BLASTED]	plot30_0000050226_9	hypothetical protein BZY88_12260	110	20	7.06451E-28	66.01								
true	[BLASTED]	plot6_0000009918_9	lectin	220	20	3.5116E-124	87.33								
true	[BLASTED]	plot30_0000053794_8	gluconolactonase	304	20	0.0	94.32								
true	[BLASTED]	plot1_0000515260_1	periplasmic binding family protein	388	20	3.22293E-69	52.23								
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000001735_5	pyrrolo-quinoline quinone	585	20	0.0	74.38	1	F:GO:0052934	F:alcohol dehydrogenase (cytochrome c) activity	EC:1.1.2.8	Alcohol dehydrogenase (cytochrome c)			
true	[BLASTED, MAPPED]	plot1_0000123650_2	peptide ABC transporter substrate-binding protein	580	20	8.90661E-84	50.83	4	C:GO:0016020; C:GO:0016021; C:GO:0043190; P:GO:0055085	C:membrane; C:integral component of membrane; C:ATP-binding cassette (ABC) transporter complex; P:transmembrane transport					
true	[BLASTED, MAPPED, ANNOTATED]	plot1_0000147262_2	carbon monoxide dehydrogenase	790	20	0.0	71.92	2	F:GO:0016491; P:GO:0055114	F:oxidoreductase activity; P:oxidation-reduction process					
true	[BLASTED, MAPPED, ANNOTATED]	plot30_0000289389_1	alpha/beta hydrolase	252	20	4.7822E-178	87.03	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED]	plot30_0000562662_1	cupin domain-containing protein	126	20	4.17202E-57	73.37								
