	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[BLASTED, MAPPED, ANNOTATED]	PYR18102.1	hypothetical protein DMF94_21295	429	20	0.0	83.78	2	F:GO:0016810; F:GO:0019213	F:hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds; F:deacetylase activity					
true	[BLASTED, MAPPED, ANNOTATED]	PYR17331.1	MBL fold metallo-hydrolase	374	20	0.0	87.36	2	C:GO:0016021; F:GO:0016787	C:integral component of membrane; F:hydrolase activity					
true	[BLASTED, MAPPED, ANNOTATED]	PYR17241.1	glycoside hydrolase	571	20	0.0	85.51	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED, MAPPED, ANNOTATED]	PYR14784.1	carbon-monoxide dehydrogenase large subunit	784	20	0.0	89.93	4	F:GO:0005507; F:GO:0018492; F:GO:0030151; P:GO:0055114	F:copper ion binding; F:carbon-monoxide dehydrogenase (acceptor) activity; F:molybdenum ion binding; P:oxidation-reduction process	EC:1.2.99.2	Acting on the aldehyde or oxo group of donors			
true	[BLASTED, MAPPED, ANNOTATED]	PYR13578.1	aconitate hydratase AcnA	916	20	0.0	90.98	2	F:GO:0003994; F:GO:0051539	F:aconitate hydratase activity; F:4 iron, 4 sulfur cluster binding	EC:4.2.1.3	Aconitate hydratase			
true	[BLASTED, MAPPED, ANNOTATED]	PYR07285.1	heme peroxidase	1848	20	0.0	80.17	9	F:GO:0004601; F:GO:0005509; C:GO:0005576; P:GO:0006979; P:GO:0009405; C:GO:0016021; F:GO:0020037; P:GO:0055114; P:GO:0098869	F:peroxidase activity; F:calcium ion binding; C:extracellular region; P:response to oxidative stress; P:pathogenesis; C:integral component of membrane; F:heme binding; P:oxidation-reduction process; P:cellular oxidant detoxification	EC:1.11.1.7	Peroxidase			
true	[BLASTED, MAPPED]	PYR02274.1	lactoylglutathione lyase	291	20	0.0	75.81	3	C:GO:0016020; C:GO:0016021; F:GO:0016829	C:membrane; C:integral component of membrane; F:lyase activity					
true	[BLASTED, MAPPED, ANNOTATED]	PYQ99924.1	dienelactone hydrolase	249	20	0.0	92.97	2	F:GO:0008806; C:GO:0016021	F:carboxymethylenebutenolidase activity; C:integral component of membrane	EC:3.1.1.45; EC:3.1.1.1	Carboxymethylenebutenolidase; Carboxylesterase			
true	[BLASTED, MAPPED, ANNOTATED]	PYQ96444.1	hypothetical protein DMF97_15410	442	20	0.0	80.58	1	F:GO:0016810	F:hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds					
true	[BLASTED, MAPPED]	PYQ92682.1	cupin	172	20	9.76937E-123	76.72	1	F:GO:0045735	F:nutrient reservoir activity					
true	[BLASTED, MAPPED, ANNOTATED]	PYQ86854.1	cyclase	353	20	0.0	83.02	3	F:GO:0004061; C:GO:0016021; P:GO:0019441	F:arylformamidase activity; C:integral component of membrane; P:tryptophan catabolic process to kynurenine	EC:3.5.1.9	Arylformamidase			
true	[BLASTED, MAPPED, ANNOTATED]	PYQ86744.1	carbon monoxide dehydrogenase	787	20	0.0	84.41	2	F:GO:0043885; P:GO:0055114	F:carbon-monoxide dehydrogenase (ferredoxin) activity; P:oxidation-reduction process	EC:1.2.7.4	Anaerobic carbon-monoxide dehydrogenase			
true	[BLASTED, MAPPED, ANNOTATED]	PYQ80282.1	amidohydrolase	422	20	0.0	86.55	1	F:GO:0016810	F:hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds					
true	[BLASTED, MAPPED, ANNOTATED]	PYQ79617.1	copper oxidase	777	20	0.0	83.24	3	F:GO:0005507; F:GO:0016491; P:GO:0055114	F:copper ion binding; F:oxidoreductase activity; P:oxidation-reduction process					
true	[BLASTED, MAPPED]	PYQ59124.1	hypothetical protein DMF53_19290, partial	324	20	0.0	67.69	4	F:GO:0004252; P:GO:0006508; C:GO:0016020; C:GO:0016021	F:serine-type endopeptidase activity; P:proteolysis; C:membrane; C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	PYQ58717.1	xanthine dehydrogenase family protein molybdopterin-binding subunit	664	20	0.0	81.99	3	F:GO:0004854; F:GO:0018492; P:GO:0055114	F:xanthine dehydrogenase activity; F:carbon-monoxide dehydrogenase (acceptor) activity; P:oxidation-reduction process	EC:1.2.99.2; EC:1.17.1; EC:1.17.1.4	Acting on the aldehyde or oxo group of donors; Acting on CH or CH(2) groups; Xanthine dehydrogenase			
true	[BLASTED, MAPPED, ANNOTATED]	PYQ56923.1	antibiotic biosynthesis monooxygenase	103	20	1.5601E-64	89.92	2	F:GO:0004497; P:GO:0055114	F:monooxygenase activity; P:oxidation-reduction process					
true	[BLASTED, MAPPED, ANNOTATED]	PYQ56046.1	amidase	582	20	0.0	72.17	2	F:GO:0016787; F:GO:0016874	F:hydrolase activity; F:ligase activity					
true	[BLASTED, MAPPED, ANNOTATED]	PYQ52227.1	antibiotic biosynthesis monooxygenase	100	20	1.05407E-63	88.97	2	F:GO:0004497; P:GO:0055114	F:monooxygenase activity; P:oxidation-reduction process					
true	[BLASTED, MAPPED, ANNOTATED]	PYQ50763.1	phosphate ABC transporter substrate-binding protein PstS	159	20	4.84365E-112	84.98	3	P:GO:0035435; F:GO:0042301; C:GO:0043190	P:phosphate ion transmembrane transport; F:phosphate ion binding; C:ATP-binding cassette (ABC) transporter complex					
true	[BLASTED, MAPPED, ANNOTATED]	PYQ50018.1	acetyl-CoA C-acyltransferase	80	20	7.24773E-49	98.05	2	F:GO:0003988; C:GO:0016021	F:acetyl-CoA C-acyltransferase activity; C:integral component of membrane	EC:2.3.1.16	Acetyl-CoA C-acyltransferase			
true	[BLASTED, MAPPED, ANNOTATED]	PYQ49400.1	pili assembly chaperone	304	20	0.0	65.2	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	PYQ49190.1	glycerol kinase	497	20	0.0	83.95	5	F:GO:0004370; F:GO:0005524; P:GO:0006072; P:GO:0016310; P:GO:0019563	F:glycerol kinase activity; F:ATP binding; P:glycerol-3-phosphate metabolic process; P:phosphorylation; P:glycerol catabolic process	EC:2.7.1.30	Glycerol kinase			
true	[BLASTED, MAPPED, ANNOTATED]	PYQ41576.1	dienelactone hydrolase	300	20	0.0	81.27	1	F:GO:0008806	F:carboxymethylenebutenolidase activity	EC:3.1.1.45; EC:3.1.1.1	Carboxymethylenebutenolidase; Carboxylesterase			
true	[BLASTED, MAPPED, ANNOTATED]	PYQ18864.1	cold-shock protein	67	20	1.68547E-41	94.37	2	F:GO:0003677; C:GO:0005737	F:DNA binding; C:cytoplasm					
true	[BLASTED, MAPPED, ANNOTATED]	PYQ08287.1	cytochrome B6	466	20	0.0	86.04	6	F:GO:0004130; F:GO:0009055; F:GO:0020037; P:GO:0022900; F:GO:0046872; P:GO:0098869	F:cytochrome-c peroxidase activity; F:electron transfer activity; F:heme binding; P:electron transport chain; F:metal ion binding; P:cellular oxidant detoxification	EC:1.11.1.5; EC:1.11.1.7	Cytochrome-c peroxidase; Peroxidase			
true	[BLASTED, MAPPED, ANNOTATED]	PYQ08212.1	hypothetical protein DMF82_01955	396	20	0.0	81.45	4	F:GO:0009055; F:GO:0020037; P:GO:0022900; F:GO:0046872	F:electron transfer activity; F:heme binding; P:electron transport chain; F:metal ion binding					
true	[BLASTED, MAPPED, ANNOTATED]	PYQ06520.1	amidohydrolase	502	20	0.0	81.07	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED, MAPPED, ANNOTATED]	PYQ05344.1	hypothetical protein DMF83_15575	397	20	0.0	82.11	4	F:GO:0009055; F:GO:0020037; P:GO:0022900; F:GO:0046872	F:electron transfer activity; F:heme binding; P:electron transport chain; F:metal ion binding					
true	[BLASTED, MAPPED, ANNOTATED]	PYQ03985.1	decarboxylating 6-phosphogluconate dehydrogenase	336	20	0.0	86.19	4	F:GO:0004616; P:GO:0006098; F:GO:0050661; P:GO:0055114	F:phosphogluconate dehydrogenase (decarboxylating) activity; P:pentose-phosphate shunt; F:NADP binding; P:oxidation-reduction process	EC:1.1.1.44	Phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating)			
true	[BLASTED, MAPPED, ANNOTATED]	PYQ02011.1	amidohydrolase	296	20	0.0	89.63	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED, MAPPED, ANNOTATED]	PYQ00047.1	superoxide reductase	140	20	5.54684E-97	85.44	5	P:GO:0000160; F:GO:0005506; F:GO:0050605; P:GO:0055114; P:GO:0098869	P:phosphorelay signal transduction system; F:iron ion binding; F:superoxide reductase activity; P:oxidation-reduction process; P:cellular oxidant detoxification	EC:1.15.1.2	Superoxide reductase			
true	[BLASTED, MAPPED, ANNOTATED]	PYP93519.1	glycerol kinase	314	20	0.0	94.47	5	F:GO:0004370; F:GO:0005524; P:GO:0006072; P:GO:0016310; P:GO:0019563	F:glycerol kinase activity; F:ATP binding; P:glycerol-3-phosphate metabolic process; P:phosphorylation; P:glycerol catabolic process	EC:2.7.1.30	Glycerol kinase			
true	[BLASTED, MAPPED, ANNOTATED]	PYP86814.1	copper oxidase	833	20	0.0	59.51	3	F:GO:0005507; F:GO:0016491; P:GO:0055114	F:copper ion binding; F:oxidoreductase activity; P:oxidation-reduction process					
true	[BLASTED, MAPPED, ANNOTATED]	PYP86093.1	carbon-monoxide dehydrogenase large subunit	788	20	0.0	90.65	4	F:GO:0005507; F:GO:0018492; F:GO:0030151; P:GO:0055114	F:copper ion binding; F:carbon-monoxide dehydrogenase (acceptor) activity; F:molybdenum ion binding; P:oxidation-reduction process	EC:1.2.99.2	Acting on the aldehyde or oxo group of donors			
true	[BLASTED, MAPPED, ANNOTATED]	PYP85757.1	dienelactone hydrolase	296	20	0.0	85.13	1	F:GO:0008806	F:carboxymethylenebutenolidase activity	EC:3.1.1.45; EC:3.1.1.1	Carboxymethylenebutenolidase; Carboxylesterase			
true	[BLASTED, MAPPED, ANNOTATED]	PYP78818.1	arylsulfatase	534	20	0.0	82.32	1	F:GO:0004065	F:arylsulfatase activity	EC:3.1.6.1	Arylsulfatase			
true	[BLASTED, MAPPED, ANNOTATED]	PYP73744.1	fumarate reductase/succinate dehydrogenase flavoprotein subunit	630	20	0.0	90.3	2	F:GO:0008177; P:GO:0055114	F:succinate dehydrogenase (ubiquinone) activity; P:oxidation-reduction process	EC:1.3.99.1; EC:1.3.5.1	Deleted entry; Succinate dehydrogenase (quinone)			
true	[BLASTED, MAPPED, ANNOTATED]	PYP45793.1	(2Fe-2S)-binding protein	151	20	1.82397E-106	84.86	5	F:GO:0009055; P:GO:0022900; F:GO:0046872; F:GO:0047121; F:GO:0051537	F:electron transfer activity; P:electron transport chain; F:metal ion binding; F:isoquinoline 1-oxidoreductase activity; F:2 iron, 2 sulfur cluster binding	EC:1.3.99.16	Isoquinoline 1-oxidoreductase			
true	[BLASTED, MAPPED, ANNOTATED]	PYP34914.1	hypothetical protein DMD48_15085	200	20	4.80367E-145	86.71	1	P:GO:0006355	P:regulation of transcription, DNA-templated					
true	[BLASTED, MAPPED, ANNOTATED]	PYN79155.1	ABC transporter substrate-binding protein	542	20	0.0	92.9	2	C:GO:0043190; P:GO:0055085	C:ATP-binding cassette (ABC) transporter complex; P:transmembrane transport					
true	[BLASTED, MAPPED, ANNOTATED]	PYN76953.1	ABC transporter substrate-binding protein	411	20	0.0	94.44	1	P:GO:0006865	P:amino acid transport					
true	[BLASTED, MAPPED, ANNOTATED]	PYN75919.1	hypothetical protein DMD97_13700	434	20	0.0	95.44	3	F:GO:0008121; C:GO:0016021; P:GO:0022900	F:ubiquinol-cytochrome-c reductase activity; C:integral component of membrane; P:electron transport chain	EC:1.10.2; EC:1.10.2.2	Acting on diphenols and related substances as donors; Quinol--cytochrome-c reductase			
true	[BLASTED, MAPPED, ANNOTATED]	PYN75698.1	ABC transporter substrate-binding protein	422	20	0.0	91.39	1	P:GO:0006865	P:amino acid transport					
true	[BLASTED, MAPPED, ANNOTATED]	PYN75424.1	amino acid ABC transporter substrate-binding protein	285	20	0.0	92.72	3	F:GO:0004970; C:GO:0016020; P:GO:0035235	F:ionotropic glutamate receptor activity; C:membrane; P:ionotropic glutamate receptor signaling pathway					
true	[BLASTED, MAPPED, ANNOTATED]	PYN74398.1	mandelate racemase	362	20	0.0	95.33	2	P:GO:0009063; F:GO:0046872	P:cellular amino acid catabolic process; F:metal ion binding					
true	[BLASTED, MAPPED, ANNOTATED]	PYN74113.1	ABC transporter substrate-binding protein	532	20	0.0	77.62	2	C:GO:0043190; P:GO:0055085	C:ATP-binding cassette (ABC) transporter complex; P:transmembrane transport					
true	[BLASTED, MAPPED, ANNOTATED]	PYN73913.1	epoxyalkane--coenzyme M transferase	379	20	0.0	90.64	4	F:GO:0003871; F:GO:0008270; P:GO:0009086; P:GO:0032259	F:5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity; F:zinc ion binding; P:methionine biosynthetic process; P:methylation	EC:2.1.1.14	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase			
true	[BLASTED, MAPPED, ANNOTATED]	PYN73461.1	alcohol dehydrogenase	320	20	0.0	86.8	2	F:GO:0016491; P:GO:0055114	F:oxidoreductase activity; P:oxidation-reduction process					
true	[BLASTED, MAPPED, ANNOTATED]	PYN73454.1	carboxymethylenebutenolidase	254	20	0.0	93.03	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED, MAPPED, ANNOTATED]	PYN73450.1	alpha/beta hydrolase	244	20	1.72943E-180	91.37	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED, MAPPED, ANNOTATED]	PYN73396.1	hypothetical protein DMD96_32855	445	20	0.0	87.99	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	PYN73377.1	cyclase family protein	292	20	0.0	68.48	2	F:GO:0004061; P:GO:0019441	F:arylformamidase activity; P:tryptophan catabolic process to kynurenine	EC:3.5.1.9	Arylformamidase			
true	[BLASTED, MAPPED, ANNOTATED]	PYN73193.1	alpha/beta hydrolase	259	20	0.0	96.95	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED, MAPPED, ANNOTATED]	PYN72609.1	alpha/beta hydrolase	248	20	0.0	86.65	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED, MAPPED, ANNOTATED]	PYN72607.1	ABC transporter substrate-binding protein	426	20	0.0	92.84	4	P:GO:0006725; F:GO:0008198; F:GO:0016491; P:GO:0055114	P:cellular aromatic compound metabolic process; F:ferrous iron binding; F:oxidoreductase activity; P:oxidation-reduction process					
true	[BLASTED, MAPPED, ANNOTATED]	PYN72071.1	aldehyde dehydrogenase	727	20	0.0	93.28	2	F:GO:0016491; P:GO:0055114	F:oxidoreductase activity; P:oxidation-reduction process					
true	[BLASTED, MAPPED, ANNOTATED]	PYN71892.1	alcohol dehydrogenase	577	20	0.0	86.3	4	F:GO:0005509; C:GO:0016020; F:GO:0016614; P:GO:0055114	F:calcium ion binding; C:membrane; F:oxidoreductase activity, acting on CH-OH group of donors; P:oxidation-reduction process					
true	[BLASTED, MAPPED, ANNOTATED]	PYN71676.1	2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase	255	20	0.0	96.45	2	F:GO:0003824; F:GO:0046872	F:catalytic activity; F:metal ion binding					
true	[BLASTED, MAPPED, ANNOTATED]	PYN71512.1	alpha/beta hydrolase	258	20	0.0	86.05	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED, MAPPED]	PYN71028.1	ABC transporter substrate-binding protein	453	20	0.0	83.8	1	P:GO:0006865	P:amino acid transport					
true	[BLASTED, MAPPED, ANNOTATED]	PYN70988.1	cyclase family protein	311	20	0.0	67.84	2	F:GO:0004061; P:GO:0019441	F:arylformamidase activity; P:tryptophan catabolic process to kynurenine	EC:3.5.1.9	Arylformamidase			
true	[BLASTED, MAPPED, ANNOTATED]	PYN70959.1	amidohydrolase	280	20	0.0	89.58	2	F:GO:0016787; F:GO:0016831	F:hydrolase activity; F:carboxy-lyase activity					
true	[BLASTED, MAPPED, ANNOTATED]	PYN69872.1	ABC transporter substrate-binding protein	544	20	0.0	88.57	2	C:GO:0043190; P:GO:0055085	C:ATP-binding cassette (ABC) transporter complex; P:transmembrane transport					
true	[BLASTED, MAPPED]	PYN68505.1	PQQ-dependent dehydrogenase, methanol/ethanol family	564	20	0.0	73.26	5	F:GO:0005509; C:GO:0016020; F:GO:0016614; C:GO:0030288; P:GO:0055114	F:calcium ion binding; C:membrane; F:oxidoreductase activity, acting on CH-OH group of donors; C:outer membrane-bounded periplasmic space; P:oxidation-reduction process					
true	[BLASTED, MAPPED, ANNOTATED]	PYN67816.1	carbon monoxide dehydrogenase	789	20	0.0	73.87	2	F:GO:0016491; P:GO:0055114	F:oxidoreductase activity; P:oxidation-reduction process					
true	[BLASTED, MAPPED, ANNOTATED]	PYN66314.1	acetamidase	354	20	0.0	89.63	1	F:GO:0016811	F:hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides					
true	[BLASTED, MAPPED, ANNOTATED]	PYN63916.1	branched chain amino acid ABC transporter substrate-binding protein	398	20	0.0	94.13	1	P:GO:0006865	P:amino acid transport					
true	[BLASTED, MAPPED, ANNOTATED]	PYN62637.1	branched chain amino acid ABC transporter substrate-binding protein	397	20	0.0	91.97	1	P:GO:0006865	P:amino acid transport					
true	[BLASTED, MAPPED, ANNOTATED]	PYN62011.1	cyclase family protein	356	20	0.0	81.47	2	F:GO:0004061; P:GO:0019441	F:arylformamidase activity; P:tryptophan catabolic process to kynurenine	EC:3.5.1.9	Arylformamidase			
true	[BLASTED, MAPPED, ANNOTATED]	PYN61672.1	arylsulfatase	564	20	0.0	90.29	1	F:GO:0004065	F:arylsulfatase activity	EC:3.1.6.1	Arylsulfatase			
true	[BLASTED, MAPPED, ANNOTATED]	PYN60339.1	ABC transporter substrate-binding protein	466	20	0.0	91.64	2	P:GO:0006865; C:GO:0016021	P:amino acid transport; C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	PYN59986.1	BMP family ABC transporter substrate-binding protein	359	20	0.0	82.89	1	C:GO:0005886	C:plasma membrane					
true	[BLASTED, MAPPED, ANNOTATED]	PYN59307.1	hypothetical protein DMD90_29440	526	20	0.0	88.01	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	PYN55572.1	alkane 1-monooxygenase	362	20	0.0	97.23	3	F:GO:0004497; F:GO:0016705; P:GO:0055114	F:monooxygenase activity; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; P:oxidation-reduction process					
true	[BLASTED, MAPPED, ANNOTATED]	PYN54923.1	alcohol dehydrogenase	582	20	0.0	83.34	4	F:GO:0005509; C:GO:0016020; F:GO:0016614; P:GO:0055114	F:calcium ion binding; C:membrane; F:oxidoreductase activity, acting on CH-OH group of donors; P:oxidation-reduction process					
true	[BLASTED, MAPPED, ANNOTATED]	PYN54809.1	hypothetical protein DMD94_13725	355	20	0.0	93.11	2	F:GO:0004061; P:GO:0019441	F:arylformamidase activity; P:tryptophan catabolic process to kynurenine	EC:3.5.1.9	Arylformamidase			
true	[BLASTED, MAPPED, ANNOTATED]	PYN54791.1	acetamidase	474	20	0.0	92.21	1	F:GO:0016811	F:hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides					
true	[BLASTED, MAPPED, ANNOTATED]	PYN53744.1	branched-chain amino acid ABC transporter substrate-binding protein	416	20	0.0	77.33	1	P:GO:0006865	P:amino acid transport					
true	[BLASTED, MAPPED, ANNOTATED]	PYN51945.1	hypothetical protein DMD94_24020	538	20	0.0	91.97	2	C:GO:0043190; P:GO:0055085	C:ATP-binding cassette (ABC) transporter complex; P:transmembrane transport					
true	[BLASTED, MAPPED, ANNOTATED]	PYN51609.1	carboxymuconolactone decarboxylase family protein	149	20	2.66791E-104	92.65	3	F:GO:0051920; P:GO:0055114; P:GO:0098869	F:peroxiredoxin activity; P:oxidation-reduction process; P:cellular oxidant detoxification	EC:1.11.1.15	Peroxiredoxin			
true	[BLASTED, MAPPED, ANNOTATED]	PYN51047.1	ABC transporter substrate-binding protein	730	20	0.0	91.29	4	C:GO:0005886; C:GO:0016021; F:GO:0022857; P:GO:0055085	C:plasma membrane; C:integral component of membrane; F:transmembrane transporter activity; P:transmembrane transport					
true	[BLASTED, MAPPED]	PYN50976.1	3-carboxymuconate cyclase	484	20	0.0	86.46	1	F:GO:0016853	F:isomerase activity					
true	[BLASTED, MAPPED, ANNOTATED]	PYN49140.1	3-oxoadipate enol-lactonase	263	20	0.0	89.99	2	P:GO:0042952; F:GO:0047570	P:beta-ketoadipate pathway; F:3-oxoadipate enol-lactonase activity	EC:3.1.1.24; EC:3.1.1.1	3-oxoadipate enol-lactonase; Carboxylesterase			
true	[BLASTED, MAPPED, ANNOTATED]	PYN48892.1	peptide ABC transporter substrate-binding protein	617	20	0.0	92.22	2	C:GO:0043190; P:GO:0055085	C:ATP-binding cassette (ABC) transporter complex; P:transmembrane transport					
true	[BLASTED, MAPPED]	PYN48244.1	cupin domain-containing protein	133	20	2.14528E-91	82.79	2	F:GO:0051213; P:GO:0055114	F:dioxygenase activity; P:oxidation-reduction process					
true	[BLASTED, MAPPED, ANNOTATED]	PYN48172.1	alkylhydroperoxidase	101	20	1.37977E-67	91.12	4	F:GO:0004601; F:GO:0051920; P:GO:0055114; P:GO:0098869	F:peroxidase activity; F:peroxiredoxin activity; P:oxidation-reduction process; P:cellular oxidant detoxification	EC:1.11.1.15; EC:1.11.1.7	Peroxiredoxin; Peroxidase			
true	[BLASTED, MAPPED, ANNOTATED]	PYN48153.1	amino acid ABC transporter substrate-binding protein	287	20	0.0	93.54	3	F:GO:0004970; C:GO:0016020; P:GO:0035235	F:ionotropic glutamate receptor activity; C:membrane; P:ionotropic glutamate receptor signaling pathway					
true	[BLASTED, MAPPED, ANNOTATED]	PYN47734.1	sorbosone dehydrogenase	402	20	0.0	90.8	4	F:GO:0009055; F:GO:0020037; P:GO:0022900; F:GO:0046872	F:electron transfer activity; F:heme binding; P:electron transport chain; F:metal ion binding					
true	[BLASTED, MAPPED, ANNOTATED]	PYN47573.1	hypothetical protein DME00_15125	445	20	0.0	89.78	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	PYN47275.1	ABC transporter substrate-binding protein	405	20	0.0	90.54	2	P:GO:0006865; C:GO:0016021	P:amino acid transport; C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	PYN47102.1	alpha/beta hydrolase	290	20	0.0	80.43	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED, MAPPED, ANNOTATED]	PYN46452.1	amidohydrolase	267	20	0.0	91.64	2	F:GO:0016787; F:GO:0016831	F:hydrolase activity; F:carboxy-lyase activity					
true	[BLASTED, MAPPED, ANNOTATED]	PYN46423.1	carboxymethylenebutenolidase	278	20	0.0	80.84	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED, MAPPED, ANNOTATED]	PYN46355.1	dienelactone hydrolase	316	20	0.0	91.58	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED, MAPPED, ANNOTATED]	PYN45999.1	2-pyrone-4,6-dicarboxylate hydrolase	314	20	0.0	87.11	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED, MAPPED, ANNOTATED]	PYN45959.1	hypothetical protein DME00_20490	525	20	0.0	90.15	2	C:GO:0043190; P:GO:0055085	C:ATP-binding cassette (ABC) transporter complex; P:transmembrane transport					
true	[BLASTED, MAPPED, ANNOTATED]	PYN45700.1	cytochrome c class I	133	20	1.20205E-90	87.99	5	F:GO:0009055; C:GO:0016021; F:GO:0020037; P:GO:0022900; F:GO:0046872	F:electron transfer activity; C:integral component of membrane; F:heme binding; P:electron transport chain; F:metal ion binding					
true	[BLASTED, MAPPED, ANNOTATED]	PYN45315.1	ABC transporter substrate-binding protein	529	20	0.0	92.46	2	C:GO:0043190; P:GO:0055085	C:ATP-binding cassette (ABC) transporter complex; P:transmembrane transport					
true	[BLASTED, MAPPED, ANNOTATED]	PYN44664.1	acetyl hydrolase	313	20	0.0	91.02	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED, MAPPED, ANNOTATED]	PYN44507.1	branched chain amino acid ABC transporter substrate-binding protein	401	20	0.0	94.27	1	P:GO:0006865	P:amino acid transport					
true	[BLASTED, MAPPED, ANNOTATED]	PYN43656.1	epoxyalkane--coenzyme M transferase	383	20	0.0	92.44	4	F:GO:0003871; F:GO:0008270; P:GO:0009086; P:GO:0032259	F:5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity; F:zinc ion binding; P:methionine biosynthetic process; P:methylation	EC:2.1.1.14	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase			
true	[BLASTED, MAPPED, ANNOTATED]	PYN41995.1	carbonic anhydrase	192	20	2.04293E-139	86.95	2	F:GO:0004089; F:GO:0008270	F:carbonate dehydratase activity; F:zinc ion binding	EC:4.2.1.1	Carbonic anhydrase			
true	[BLASTED, MAPPED, ANNOTATED]	PYN41097.1	ABC transporter substrate-binding protein	516	20	0.0	92.83	2	C:GO:0043190; P:GO:0055085	C:ATP-binding cassette (ABC) transporter complex; P:transmembrane transport					
true	[BLASTED, MAPPED, ANNOTATED]	PYN40852.1	carboxymethylenebutenolidase	229	20	1.89188E-167	81.6	2	C:GO:0016021; F:GO:0016787	C:integral component of membrane; F:hydrolase activity					
true	[BLASTED, MAPPED, ANNOTATED]	PYN40275.1	alpha/beta hydrolase	295	20	0.0	80.92	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED, MAPPED, ANNOTATED]	PYN39756.1	cupin domain-containing protein	165	20	1.87088E-118	68.32	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	PYN39674.1	hypothetical protein DMD95_23975	182	20	4.20812E-130	85.44	3	F:GO:0051920; P:GO:0055114; P:GO:0098869	F:peroxiredoxin activity; P:oxidation-reduction process; P:cellular oxidant detoxification	EC:1.11.1.15	Peroxiredoxin			
true	[BLASTED, MAPPED, ANNOTATED]	PYN39286.1	cupin	126	20	1.59865E-87	88.29	3	F:GO:0003735; C:GO:0005840; P:GO:0006412	F:structural constituent of ribosome; C:ribosome; P:translation					
true	[BLASTED, MAPPED, ANNOTATED]	PYN38572.1	ABC transporter substrate-binding protein	430	20	0.0	76.27	2	P:GO:0006865; C:GO:0016021	P:amino acid transport; C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	PYN38372.1	hypothetical protein DME01_02335	560	20	0.0	84.34	2	C:GO:0043190; P:GO:0055085	C:ATP-binding cassette (ABC) transporter complex; P:transmembrane transport					
true	[BLASTED, MAPPED, ANNOTATED]	PYN38357.1	ABC transporter ATP-binding protein	439	20	0.0	94.41	1	F:GO:0005524	F:ATP binding					
true	[BLASTED, MAPPED, ANNOTATED]	PYN36096.1	alkaline phosphatase	535	20	0.0	84.12	5	F:GO:0003993; F:GO:0004528; P:GO:0016311; F:GO:0046872; P:GO:0090305	F:acid phosphatase activity; F:phosphodiesterase I activity; P:dephosphorylation; F:metal ion binding; P:nucleic acid phosphodiester bond hydrolysis	EC:3.1.3.2; EC:3.1.4.1	Acid phosphatase; Phosphodiesterase I			
true	[BLASTED, MAPPED, ANNOTATED]	PYN35974.1	acetamidase	355	20	0.0	90.34	1	F:GO:0016811	F:hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides					
